,category,country,description,lat,lon,rank,start,timezone,title,as_of_date,label
0,disasters,,,34.1017,83.9207,83,2018-11-02T22:35:10Z,Asia/Shanghai,"M 4.6 - 205km N of Luring, China",2018-11-02,disaster
0,disasters,,,34.1017,83.9207,83,2018-11-02T22:35:10Z,Asia/Shanghai,"M 4.6 - 205km N of Luring, China",2018-11-02,earthquake
1,disasters,,,-1.2599,120.4924,86,2018-11-02T21:33:36Z,Asia/Makassar,"M 4.9 - 25km NW of Kasiguncu, Indonesia",2018-11-02,disaster
1,disasters,,,-1.2599,120.4924,86,2018-11-02T21:33:36Z,Asia/Makassar,"M 4.9 - 25km NW of Kasiguncu, Indonesia",2018-11-02,earthquake
2,disasters,,,-1.3005,120.5598,84,2018-11-02T21:06:31Z,Asia/Makassar,"M 4.9 - 17km NW of Kasiguncu, Indonesia",2018-11-02,disaster
2,disasters,,,-1.3005,120.5598,84,2018-11-02T21:06:31Z,Asia/Makassar,"M 4.9 - 17km NW of Kasiguncu, Indonesia",2018-11-02,earthquake
3,disasters,,,36.3247,141.9646,84,2018-11-02T18:19:30Z,Asia/Tokyo,"M 4.9 - 119km ESE of Takahagi, Japan",2018-11-02,disaster
3,disasters,,,36.3247,141.9646,84,2018-11-02T18:19:30Z,Asia/Tokyo,"M 4.9 - 119km ESE of Takahagi, Japan",2018-11-02,earthquake
4,disasters,,,-7.0791,126.8599,62,2018-11-02T17:42:52Z,Asia/Jayapura,"M 4.5 - 216km NE of Dili, East Timor",2018-11-02,disaster
4,disasters,,,-7.0791,126.8599,62,2018-11-02T17:42:52Z,Asia/Jayapura,"M 4.5 - 216km NE of Dili, East Timor",2018-11-02,earthquake
5,disasters,,,16.7816,145.9106,80,2018-11-02T13:46:14Z,Pacific/Saipan,"M 4.8 - 53km NNE of Anatahan, Northern Mariana Islands",2018-11-02,disaster
5,disasters,,,16.7816,145.9106,80,2018-11-02T13:46:14Z,Pacific/Saipan,"M 4.8 - 53km NNE of Anatahan, Northern Mariana Islands",2018-11-02,earthquake
6,disasters,,,-6.382999999999999,153.4379,85,2018-11-02T13:18:44Z,Pacific/Bougainville,"M 5.3 - 216km SSE of Taron, Papua New Guinea",2018-11-02,disaster
6,disasters,,,-6.382999999999999,153.4379,85,2018-11-02T13:18:44Z,Pacific/Bougainville,"M 5.3 - 216km SSE of Taron, Papua New Guinea",2018-11-02,earthquake
7,disasters,,,-31.6658,-69.543,65,2018-11-02T10:57:44Z,America/Argentina/San_Juan,"M 4.5 - 39km SSW of Calingasta, Argentina",2018-11-02,disaster
7,disasters,,,-31.6658,-69.543,65,2018-11-02T10:57:44Z,America/Argentina/San_Juan,"M 4.5 - 39km SSW of Calingasta, Argentina",2018-11-02,earthquake
8,disasters,,,52.1774,158.3398,72,2018-11-02T09:39:30Z,Asia/Kamchatka,"M 5.2 - 83km S of Vilyuchinsk, Russia",2018-11-02,disaster
8,disasters,,,52.1774,158.3398,72,2018-11-02T09:39:30Z,Asia/Kamchatka,"M 5.2 - 83km S of Vilyuchinsk, Russia",2018-11-02,earthquake
